Plant_ID,Scientific Name,recordID,scientificName,acceptedName,commonName,regionGroup,primaryMicroregion,fineHabitatTags,fineHabitatSummary,moistureWaterLight,wetlandStatusSummary,confidence,reviewNeeded,publicStatus,publicationNote,sourceUseNote,datasetVersion,lastUpdated,onlineSlug,lbjProfileURL,usdaPlantsURL,fnaSearchURL,fnaDirectCandidateURL,wetlandPlantListURL,nrcsWebSoilSurveyURL,nrcsEDITURL,epaEcoregionsURL,tpwdEMSURL,secondaryMicroregions
Argemone polyanthemos,Argemone polyanthemos,38,Argemone polyanthemos,Argemone polyanthemos,White Prickly Poppy,Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Dry; Low; Sun; High,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,argemone-polyanthemos,https://www.wildflower.org/plants/result.php?id_plant=ARPO2,https://plants.usda.gov/home/basicSearchResults?searchString=Argemone+polyanthemos,https://floranorthamerica.org/Special:Search?search=Argemone+polyanthemos,https://floranorthamerica.org/Argemone_polyanthemos,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Argemone sanguinea,Argemone sanguinea,39,Argemone sanguinea,Argemone sanguinea,"Red Pricklypoppy, Rose Prickly Poppy, Red Prickly Poppy",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Dry; Low; Part Shade,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,argemone-sanguinea,https://www.wildflower.org/plants/result.php?id_plant=ARSA4,https://plants.usda.gov/home/basicSearchResults?searchString=Argemone+sanguinea,https://floranorthamerica.org/Special:Search?search=Argemone+sanguinea,https://floranorthamerica.org/Argemone_sanguinea,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Aristolochia erecta,Aristolochia erecta,40,Aristolochia erecta,Aristolochia erecta,Swanflower,Upland prairie and open grassland systems,Shallow Upland Prairie,open dry upland prairie/grassland,open dry upland prairie/grassland,"Moist; Low , Medium; Sun , Part Shade",,Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,aristolochia-erecta,https://www.wildflower.org/plants/result.php?id_plant=ARER,https://plants.usda.gov/home/basicSearchResults?searchString=Aristolochia+erecta,https://floranorthamerica.org/Special:Search?search=Aristolochia+erecta,https://floranorthamerica.org/Aristolochia_erecta,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Shallow Upland Prairie
Asclepias asperula,Asclepias asperula,41,Asclepias asperula,Asclepias asperula,"Antelope-horns, Spider Milkweed, Green-flowered Milkweed, Spider Antelope-horns, Antelope Horns",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry , Moist; Medium; Sun",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,asclepias-asperula,https://www.wildflower.org/plants/result.php?id_plant=ASAS,https://plants.usda.gov/home/basicSearchResults?searchString=Asclepias+asperula,https://floranorthamerica.org/Special:Search?search=Asclepias+asperula,https://floranorthamerica.org/Asclepias_asperula,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Asclepias incarnata,Asclepias incarnata,42,Asclepias incarnata,Asclepias incarnata,"Swamp Milkweed, Pink Milkweed","Aquatic, spring-run, and wetland systems",Aquatic / Spring Runs,pond/lake margin or shallow open water,pond/lake margin or shallow open water,"Moist , Wet; High; Sun , Part Shade; Medium","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: OBL OBL OBL FACW OBL OBL OBL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,asclepias-incarnata,https://www.wildflower.org/plants/result.php?id_plant=ASIN,https://plants.usda.gov/home/basicSearchResults?searchString=Asclepias+incarnata,https://floranorthamerica.org/Special:Search?search=Asclepias+incarnata,https://floranorthamerica.org/Asclepias_incarnata,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Asclepias oenotheroides,Asclepias oenotheroides,43,Asclepias oenotheroides,Asclepias oenotheroides,"Zizotes Milkweed, Hierba De Zizotes, Side-cluster Milkweed, Longhorn Milkweed, Primrose Milkweed, Lindheimer's Milkweed",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Dry; Sun,"Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU FACU FACU FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,asclepias-oenotheroides,https://www.wildflower.org/plants/result.php?id_plant=ASOE,https://plants.usda.gov/home/basicSearchResults?searchString=Asclepias+oenotheroides,https://floranorthamerica.org/Special:Search?search=Asclepias+oenotheroides,https://floranorthamerica.org/Asclepias_oenotheroides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Asclepias texana,Asclepias texana,44 | 45,Asclepias texana,Asclepias texana,Texas Milkweed,Woodland and karst upland systems,Karst Outcrops,stream/river bank; ravine/canyon/depression; rocky/ledge/slope; dry upland; sunny open,dry rocky canyon/arroyos plus workbook ravines/stream banks,Dry; Low; Sun,"Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,asclepias-texana,https://www.wildflower.org/plants/result.php?id_plant=ASTE,https://plants.usda.gov/home/basicSearchResults?searchString=Asclepias+texana,https://floranorthamerica.org/Special:Search?search=Asclepias+texana,https://floranorthamerica.org/Asclepias_texana,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Shallow Upland Prairie; Mesic Canyons & Seeps; Riparian Banks
Asclepias tuberosa,Asclepias tuberosa,46,Asclepias tuberosa,Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry , Moist; Low; Sun; Medium; High",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,asclepias-tuberosa,https://www.wildflower.org/plants/result.php?id_plant=ASTU,https://plants.usda.gov/home/basicSearchResults?searchString=Asclepias+tuberosa,https://floranorthamerica.org/Special:Search?search=Asclepias+tuberosa,https://floranorthamerica.org/Asclepias_tuberosa,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Asclepias viridis,Asclepias viridis,47,Asclepias viridis,Asclepias viridis,"Green Milkweed, Spider Milkweed",Upland prairie and open grassland systems,Shallow Upland Prairie,open dry upland prairie/grassland,open dry upland prairie/grassland,Moist; Low; Sun,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,asclepias-viridis,https://www.wildflower.org/plants/result.php?id_plant=ASVI2,https://plants.usda.gov/home/basicSearchResults?searchString=Asclepias+viridis,https://floranorthamerica.org/Special:Search?search=Asclepias+viridis,https://floranorthamerica.org/Asclepias_viridis,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Baptisia bracteata,Baptisia bracteata,48,Baptisia bracteata,Baptisia bracteata,Wild Indigo,Upland prairie and open grassland systems,Shallow Upland Prairie,stream/river bank; rocky/ledge/slope; prairie/open field; woodland/wood edge; dry upland; moist mesic; sunny open; shade/part shade,"prairies, rocky woods, fields, and along streams","Dry , Moist; Sun , Part Shade; High",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,baptisia-bracteata,https://www.wildflower.org/plants/result.php?id_plant=BABR2,https://plants.usda.gov/home/basicSearchResults?searchString=Baptisia+bracteata,https://floranorthamerica.org/Special:Search?search=Baptisia+bracteata,https://floranorthamerica.org/Baptisia_bracteata,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Upland Woodland; Karst Outcrops; Riparian Banks
Berlandiera lyrata,Berlandiera lyrata,49,Berlandiera lyrata,Berlandiera lyrata,"Chocolate Daisy, Chocolate Flower, Lyreleaf Greeneyes, Green-eyed Lyre Leaf",Woodland and karst upland systems,Karst Outcrops,rocky calcareous limestone outcrop,rocky calcareous limestone outcrop,"Moist; Low; Sun , Part Shade; High",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,berlandiera-lyrata,https://www.wildflower.org/plants/result.php?id_plant=BELY,https://plants.usda.gov/home/basicSearchResults?searchString=Berlandiera+lyrata,https://floranorthamerica.org/Special:Search?search=Berlandiera+lyrata,https://floranorthamerica.org/Berlandiera_lyrata,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Brickellia eupatorioides,Brickellia eupatorioides,50,Brickellia eupatorioides,Brickellia eupatorioides,False Boneset,Upland prairie and open grassland systems,Shallow Upland Prairie,prairie/open field; sunny open,grassland communities / prairie-type openings,,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,brickellia-eupatorioides,https://www.wildflower.org/plants/result.php?id_plant=BREU,https://plants.usda.gov/home/basicSearchResults?searchString=Brickellia+eupatorioides,https://floranorthamerica.org/Special:Search?search=Brickellia+eupatorioides,https://floranorthamerica.org/Brickellia_eupatorioides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Deep Clay Prairie; Upland Savanna
Callirhoe involucrata,Callirhoe involucrata,51,Callirhoe involucrata,Callirhoe involucrata,"Winecup, Purple Poppy Mallow",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry , Moist; Medium; Sun , Part Shade; Medium",,Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,callirhoe-involucrata,https://www.wildflower.org/plants/result.php?id_plant=CAIN2,https://plants.usda.gov/home/basicSearchResults?searchString=Callirhoe+involucrata,https://floranorthamerica.org/Special:Search?search=Callirhoe+involucrata,https://floranorthamerica.org/Callirhoe_involucrata,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Karst Outcrops
Calylophus berlandieri,Calylophus berlandieri,52,Calylophus berlandieri,Calylophus berlandieri,"Berlandier's Sundrops , Square-bud Primrose, Sundrops","Ecotone, thicket, and disturbance-edge systems",Ecotone / Edge Thicket,"disturbed edge, roadside, or old-field transition","disturbed edge, roadside, or old-field transition","Moist; Low; Sun , Part Shade",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,calylophus-berlandieri,https://www.wildflower.org/plants/result.php?id_plant=CABE6,https://plants.usda.gov/home/basicSearchResults?searchString=Calylophus+berlandieri,https://floranorthamerica.org/Special:Search?search=Calylophus+berlandieri,https://floranorthamerica.org/Calylophus_berlandieri,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Karst Outcrops; Ecotone / Edge Thicket
Calyptocarpus vialis,Calyptocarpus vialis,53,Calyptocarpus vialis,Calyptocarpus vialis,Horseherb,Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry , Moist; Low , Medium; Sun , Part Shade , Shade; High","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FAC FAC FAC FAC FAC FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,calyptocarpus-vialis,https://www.wildflower.org/plants/result.php?id_plant=CAVI2,https://plants.usda.gov/home/basicSearchResults?searchString=Calyptocarpus+vialis,https://floranorthamerica.org/Special:Search?search=Calyptocarpus+vialis,https://floranorthamerica.org/Calyptocarpus_vialis,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Shallow Upland Prairie; Upland Woodland
Capsicum annuum,Capsicum annuum,54,Capsicum annuum,Capsicum annuum,"Chile Tepin, Chile Pequin, Chiltepin, Chile Petin, Bird Pepper, Turkey Pepper , Cayenne Pepper",Woodland and karst upland systems,Karst Outcrops,"limestone ledge, cliff, or bluff","limestone ledge, cliff, or bluff","Moist; Low; Sun , Part Shade , Shade",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,capsicum-annuum,https://www.wildflower.org/plants/result.php?id_plant=CAAN4,https://plants.usda.gov/home/basicSearchResults?searchString=Capsicum+annuum,https://floranorthamerica.org/Special:Search?search=Capsicum+annuum,https://floranorthamerica.org/Capsicum_annuum,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Upland Woodland; Deep Clay Prairie
Carex blanda,Carex blanda,55,Carex blanda,Carex blanda,"Eastern Woodland Sedge, Creek Sedge, Common Wood Sedge",Riparian and floodplain systems,Riparian Banks,riparian corridor or drainage margin,riparian corridor or drainage margin,"Dry , Moist; High; Sun , Part Shade , Shade; Medium","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FAC FAC FAC FAC FAC FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,carex-blanda,https://www.wildflower.org/plants/result.php?id_plant=CABL,https://plants.usda.gov/home/basicSearchResults?searchString=Carex+blanda,https://floranorthamerica.org/Special:Search?search=Carex+blanda,https://floranorthamerica.org/Carex_blanda,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Carex cherokeensis,Carex cherokeensis,56,Carex cherokeensis,Carex cherokeensis,Cherokee Sedge,Woodland and karst upland systems,Upland Woodland,woodland/wood edge; moist mesic; shade/part shade,"moist sandy loam woodland, needs drainage","Moist , Wet; Medium; Part Shade","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACW FACW FACW FACW FACW | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,carex-cherokeensis,https://www.wildflower.org/plants/result.php?id_plant=CACH3,https://plants.usda.gov/home/basicSearchResults?searchString=Carex+cherokeensis,https://floranorthamerica.org/Special:Search?search=Carex+cherokeensis,https://floranorthamerica.org/Carex_cherokeensis,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Mesic Canyons & Seeps; Riparian Banks
Carex emoryi,Carex emoryi,57,Carex emoryi,Carex emoryi,"Emory's Sedge, Emory Sedge",Riparian and floodplain systems,Riparian Banks,stream/river bank; marsh/swamp/wetland; moist mesic; sunny open; shade/part shade,river and stream banks; sand/gravel bars; shoreline/retention pond use,"Wet; Sun , Part Shade","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: OBL OBL OBL OBL OBL OBL OBL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,carex-emoryi,https://www.wildflower.org/plants/result.php?id_plant=CAEM2,https://plants.usda.gov/home/basicSearchResults?searchString=Carex+emoryi,https://floranorthamerica.org/Special:Search?search=Carex+emoryi,https://floranorthamerica.org/Carex_emoryi,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Aquatic / Spring Runs
Carex perdentata,Carex perdentata,58,Carex perdentata,Carex perdentata,"Sand Sedge, Meadow Sedge",Savanna and woodland-edge systems,Upland Savanna,woodland/wood edge; dry upland; moist mesic; sunny open,savannas and open mesic forests; high moisture requirement,Moist; Sun,,Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,carex-perdentata,https://www.wildflower.org/plants/result.php?id_plant=CAPE40,https://plants.usda.gov/home/basicSearchResults?searchString=Carex+perdentata,https://floranorthamerica.org/Special:Search?search=Carex+perdentata,https://floranorthamerica.org/Carex_perdentata,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Upland Woodland; Mesic Canyons & Seeps
Carex texensis,Carex texensis,59,Carex texensis,Carex texensis,Texas Sedge,Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry , Moist; Medium; Sun , Part Shade",,Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,carex-texensis,https://www.wildflower.org/plants/result.php?id_plant=CATE7,https://plants.usda.gov/home/basicSearchResults?searchString=Carex+texensis,https://floranorthamerica.org/Special:Search?search=Carex+texensis,https://floranorthamerica.org/Carex_texensis,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Upland Woodland; Upland Savanna
Chaetopappa ericoides,Chaetopappa ericoides,60,Chaetopappa ericoides,Chaetopappa ericoides,Rose Heath,Woodland and karst upland systems,Karst Outcrops,rocky calcareous limestone outcrop,rocky calcareous limestone outcrop,,,Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,chaetopappa-ericoides,https://www.wildflower.org/plants/result.php?id_plant=CHER2,https://plants.usda.gov/home/basicSearchResults?searchString=Chaetopappa+ericoides,https://floranorthamerica.org/Special:Search?search=Chaetopappa+ericoides,https://floranorthamerica.org/Chaetopappa_ericoides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Upland Woodland; Shallow Upland Prairie
Chamaecrista fasciculata,Chamaecrista fasciculata,61,Chamaecrista fasciculata,Chamaecrista fasciculata,"Partridge Pea, Sleepingplant, Sensitive Plant",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry , Moist; Medium; Sun , Part Shade","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU FACU FACU FACU FACU FACU FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,chamaecrista-fasciculata,https://www.wildflower.org/plants/result.php?id_plant=CHFA2,https://plants.usda.gov/home/basicSearchResults?searchString=Chamaecrista+fasciculata,https://floranorthamerica.org/Special:Search?search=Chamaecrista+fasciculata,https://floranorthamerica.org/Chamaecrista_fasciculata,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
