canonical_name,alias,record_type,source_id,notes
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1901,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1902,direct PARK/area label from VybeTrails.geojson
Remove from Plan,Remove from Plan,trail_area,TRAIL_OBJECTID_1903,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1905,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1906,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1907,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1908,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1909,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1910,direct PARK/area label from VybeTrails.geojson
Remove from Plan,Remove from Plan,trail_area,PARD-TRL-516,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1912,direct PARK/area label from VybeTrails.geojson
