site_id,site_name,site_type_standard,site_type_source,owner,city_owned,address,acres,developed_acres,undeveloped_acres,year_dedicated,amenity_playground,amenity_tables,amenity_pool,amenity_baseball,amenity_basketball,amenity_soccer,dfz,comments,geometry_type,center_lat,center_lon,bbox_west,bbox_south,bbox_east,bbox_north,source_file,dashboard_use,gpt_use_note
PARD-PVT-94,Plum Creek 6H,hoa_open_space,HOA,,no,,0.15154906,,,,,,,,,,,,Polygon,30.0202385,-97.8828979,-97.8832187,30.0201389,-97.8825772,30.0203382,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-95,Plum Creek 6H,hoa_open_space,HOA,,no,,0.14661263,,,,,,,,,,,,Polygon,30.0208222,-97.8843035,-97.8843795,30.0205288,-97.8842276,30.0211155,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-96,Plum Creek 6H,hoa_open_space,HOA,,no,,0.03789448,,,,,,,,,,,,Polygon,30.0210721,-97.8852555,-97.8853533,30.0208445,-97.8851577,30.0212997,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-97,Plum Creek 6H,hoa_open_space,HOA,,no,,0.02519795,,,,,,,,,,,,Polygon,30.0212518,-97.8853336,-97.8853863,30.0211535,-97.885281,30.0213501,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-98,Plum Creek 6H,hoa_open_space,HOA,,no,,0.02722169,,,,,,,,,,,,Polygon,30.0213885,-97.8858095,-97.8858771,30.0212967,-97.8857418,30.0214804,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-99,Plum Creek 6H,hoa_open_space,HOA,,no,,0.49474738,,,,,,,,,,,,Polygon,30.0208384,-97.8860215,-97.8864842,30.0204406,-97.8855587,30.0212361,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-100,Plum Creek 6H,hoa_open_space,HOA,,no,,1.31451361,,,,,,,,,,,,Polygon,30.0202532,-97.8844015,-97.8855977,30.0197425,-97.8832053,30.020764,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-101,Plum Creek 6B,hoa_open_space,HOA,,no,,0.77580589,,,,,,,,,,,,Polygon,30.0245941,-97.8893951,-97.8897712,30.0243409,-97.889019,30.0248472,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-102,Plum Creek 6B,hoa_open_space,HOA,,no,,0.15771189,,,,,,,,,,,,Polygon,30.0237636,-97.889308,-97.8896203,30.0237069,-97.8889956,30.0238204,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-103,Plum Creek 6B,hoa_open_space,HOA,,no,,0.28107918,,,,,,,,,,,,Polygon,30.023753,-97.888258,-97.8888309,30.0236175,-97.887685,30.0238885,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-104,Plum Creek 6B,hoa_open_space,HOA,,no,,0.20116585,,,,,,,,,,,,Polygon,30.0245093,-97.8886359,-97.8888851,30.0242903,-97.8883867,30.0247283,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-105,Plum Creek 6B,hoa_open_space,HOA,,no,,1.40084899,,,,,,,,,,,,Polygon,30.0220057,-97.8888532,-97.8896742,30.0216776,-97.8880321,30.0223339,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-106,Plum Creek 6B,hoa_open_space,HOA,,no,,0.15133457,,,,,,,,,,,,Polygon,30.0231394,-97.889277,-97.8895813,30.0230836,-97.8889728,30.0231951,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-107,Plum Creek 6B,hoa_open_space,HOA,,no,,0.10851544,,,,,,,,,,,,Polygon,30.0225207,-97.8892647,-97.8895236,30.0224662,-97.8890058,30.0225753,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-108,Plum Creek 6B,hoa_open_space,HOA,,no,,0.31265894,,,,,,,,,,,,Polygon,30.0229232,-97.8882063,-97.8888037,30.0227838,-97.8876088,30.0230627,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-109,Plum Creek 6E2,hoa_open_space,HOA,,no,,0.50544243,,,,,,,,,,,,Polygon,30.025008,-97.8863956,-97.8870723,30.0247266,-97.8857188,30.0252894,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-110,Plum Creek 6E2,hoa_open_space,HOA,,no,,0.38900295,,,,,,,,,,,,Polygon,30.0245733,-97.8852527,-97.8856717,30.0243309,-97.8848337,30.0248157,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-111,Plum Creek 6E2,hoa_open_space,HOA,,no,,0.32940917,,,,,,,,,,,,Polygon,30.0241745,-97.8843549,-97.8847257,30.0239538,-97.8839842,30.0243953,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-112,Plum Creek 6E2,hoa_open_space,HOA,,no,,0.33000751,,,,,,,,,,,,Polygon,30.0238203,-97.8835638,-97.8839318,30.023598,-97.8831958,30.0240427,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-113,Plum Creek 6D,hoa_open_space,HOA,,no,1075 KIRBY,0.18054879,,,,,,,,,,,,Polygon,30.026398,-97.8827781,-97.882942,30.0261664,-97.8826143,30.0266296,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-114,Plum Creek 6D,hoa_open_space,HOA,,no,1163 KIRBY,0.55318842,,,,,,,,,,,,Polygon,30.0247418,-97.8826903,-97.8828626,30.024124,-97.8825179,30.0253597,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-115,Plum Creek 6D,hoa_open_space,HOA,,no,150 EDWIN,0.09871755,,,,,,,,,,,,Polygon,30.027156,-97.8866108,-97.8867401,30.0270365,-97.8864815,30.0272754,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-116,Brookside,hoa_open_space,HOA,,no,,0.19805906,,,,,,,,,,,,Polygon,29.9820932,-97.8581245,-97.8585416,29.9819326,-97.8577074,29.9822537,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-117,Brookside,hoa_open_space,HOA,,no,,0.24887155,,,,,,,,,,,,Polygon,29.9814757,-97.8584633,-97.8589217,29.9812778,-97.8580049,29.9816737,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-118,Brookside,hoa_open_space,HOA,,no,,0.11406557,,,,,,,,,,,,Polygon,29.9802105,-97.8565073,-97.8567507,29.9800934,-97.856264,29.9803276,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-119,Brookside,hoa_open_space,HOA,,no,,0.16892804,,,,,,,,,,,,Polygon,29.9807181,-97.85614,-97.8564923,29.980562,-97.8557877,29.9808743,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-120,Brookside,hoa_open_space,HOA,,no,,0.10536031,,,,,,,,,,,,Polygon,29.9814997,-97.8565175,-97.8567275,29.981397,-97.8563075,29.9816024,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-121,Brookside,hoa_open_space,HOA,,no,,0.11619247,,,,,,,,,,,,Polygon,29.9808867,-97.8568701,-97.8570939,29.9807729,-97.8566462,29.9810006,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-122,Brookside,hoa_open_space,HOA,,no,,0.14521043,,,,,,,,,,,,Polygon,29.9811657,-97.8576233,-97.8578984,29.9810335,-97.8573481,29.981298,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-123,Brookside,hoa_open_space,HOA,,no,,0.15230803,,,,,,,,,,,,Polygon,29.9818173,-97.857376,-97.857679,29.9816679,-97.8570729,29.9819666,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-124,Plum Creek 1G2,hoa_open_space,HOA,,no,,0.54217969,,,,,,,,,,,,Polygon,30.0117867,-97.8892458,-97.8896896,30.0113524,-97.8888019,30.012221,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-125,Sunset Hills Phase 1,hoa_open_space,HOA,,no,,1.92437055,,,,,,,,,,,,Polygon,30.021282,-97.8430241,-97.8435945,30.02048,-97.8424538,30.022084,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-126,Plum Creek 5A,hoa_open_space,HOA,,no,,0.30617358,,,,,,,,,,,,Polygon,30.0142881,-97.8896234,-97.8898012,30.0140643,-97.8894455,30.014512,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-127,Plum Creek,hoa_open_space,HOA,,no,,3.00181079,,,,,,,,,,,,Polygon,30.0161554,-97.8766691,-97.8787317,30.0152086,-97.8746065,30.0171022,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-128,Plum Creek,hoa_open_space,HOA,,no,,0.32073999,,,,,,,,,,,,Polygon,30.0158642,-97.8871706,-97.8874317,30.0156746,-97.8869094,30.0160537,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-129,Plum Creek 4B,hoa_open_space,HOA,,no,,0.09857369,,,,,,,,,,,,Polygon,30.0160091,-97.8814106,-97.881598,30.0158897,-97.8812231,30.0161284,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-130,Hometown Trails,hoa_open_space,HOA,,no,Camelia Pkwy,0.34101437,,,,,,,,,,,,Polygon,30.0031745,-97.8896591,-97.8915804,30.0027975,-97.8877378,30.0035515,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-131,Hometown Trails,hoa_open_space,HOA,,no,Camelia Pkwy,0.36749724,,,,,,,,,,,,Polygon,30.0025753,-97.8893788,-97.891256,30.0022947,-97.8875016,30.0028558,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-132,Hometown Trails,hoa_open_space,HOA,,no,Camelia Pkwy,0.23548851,,,,,,,,,,,,Polygon,30.001906,-97.8927971,-97.8940572,30.0014209,-97.8915369,30.0023912,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-133,Plum Creek Preserve,park_or_open_space,To be deeded to City,,no,Arbor Knot Dr,48.29048244,,,,,,,,,,,,Polygon,29.9824402,-97.8512121,-97.8574044,29.9785289,-97.8450197,29.9863514,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-134,Paramount,hoa_open_space,HOA,,no,309 KENAI DR,4.02690461,,,,,,,,,,,,Polygon,29.9658483,-97.8794064,-97.880357,29.9650355,-97.8784558,29.966661,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-135,Plum Creek RV Park 1,hoa_open_space,HOA,,no,,0.14061673,,,,,,,,,,,,Polygon,29.958668,-97.8826228,-97.8828095,29.95853,-97.8824362,29.958806,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-136,Plum Creek RV Park 2,hoa_open_space,HOA,,no,,2.20698313,,,,,,,,,,,,Polygon,29.9561065,-97.8817658,-97.8825199,29.9556381,-97.8810116,29.956575,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-137,Limestone Creek,hoa_open_space,HOA,,no,,2.89308724,,,,,,,,,,,,Polygon,29.9609827,-97.8683161,-97.8690303,29.9603497,-97.8676019,29.9616156,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-138,Plum Creek Phase 2 Amenity Center,hoa_open_space,HOA,,no,350 JACK RYAN,16.19388974,,,,,,,,,,,,Polygon,30.0337183,-97.8809485,-97.8824506,30.0319249,-97.8794464,30.0355116,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-139,La Verde,public_park,Public,City of Kyle,yes,3901 Burnham,1.67214835,,,,,,,,,,,A,Polygon,30.0313919,-97.8770675,-97.8775208,30.0310365,-97.8766142,30.0317472,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-140,Heroes Memorial Park,public_park,Public,City of Kyle,yes,4100 S FM 1626,5.54392229,,,,,,,,,,,A,Polygon,30.0289667,-97.8738549,-97.8747599,30.0282965,-97.8729499,30.029637,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-141,Porter Country Amenity Center,hoa_open_space,HOA,,no,,5.05867609,,,,,,,,,,,,Polygon,30.0476742,-97.8130809,-97.8138474,30.0469313,-97.8123144,30.0484171,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-142,Casetta Ranch Amenity Center,hoa_open_space,HOA,,no,1284 GOFORTH RD,1.73751338,,,,,,,,,,,,Polygon,29.9902121,-97.844204,-97.8447822,29.9895666,-97.8436259,29.9908577,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-143,Sunset Ridge Amenity Center,hoa_open_space,HOA,,no,,4.37264016,,,,,,,,,,,,Polygon,29.974305,-97.8499843,-97.8509253,29.9735111,-97.8490434,29.975099,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-144,Talavera Amenity Center,hoa_open_space,HOA,,no,,1.85949822,,,,,,,,,,,,Polygon,29.9969447,-97.8384705,-97.8390628,29.9962727,-97.8378781,29.9976167,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-145,Sage Hollow,hoa_open_space,HOA,,no,141 CONDESA ST,1.33300124,,,,,,,,,,,,Polygon,30.0142357,-97.8976839,-97.8982117,30.0137661,-97.8971562,30.0147053,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-146,Brooks Ranch,hoa_open_space,HOA,,no,109 BROOKS RANCH DR,1.85460771,,,,,,,,,,,,Polygon,30.0100049,-97.8894212,-97.8899591,30.0091113,-97.8888834,30.0108985,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-147,Masonwood,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,236 Masonwood Dr,1.19995422,,,2021,,,,,,,,A,Polygon,29.9910379,-97.8671389,-97.8677155,29.9905137,-97.8665622,29.9915621,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-148,Sportsplex,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,,46.95302429,,,,,,,,,,,A,Polygon,30.0377137,-97.8753472,-97.8781215,30.0346455,-97.8725729,30.0407819,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-149,Post Oak,public_park,Public,City of Kyle,yes,Goddard,5.63721862,,,,,,,,,,,Community Garden,Polygon,29.9710102,-97.8593913,-97.8607996,29.970074,-97.857983,29.9719464,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-85,Lake Kensington,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,2400 DACY LN,81.27108245,,81,2024,,,,,,,,,Polygon,30.0070589,-97.8407217,-97.8454941,30.0022472,-97.8359494,30.0118705,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-87,2000 Dacy Ln,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,2000 DACY LN,20.37,,,,,,,,,,,,Polygon,30.0082692,-97.8450688,-97.8475901,30.0062698,-97.8425475,30.0102686,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-88,Sportsplex,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Plum Creek Meadows,47.02095448,,47,2024,,,,,,,,,Polygon,30.0388219,-97.8652117,-97.8670931,30.0351806,-97.8633304,30.0424632,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-89,Sportsplex,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Plum Creek Meadows,12.55760105,,12,2024,,,,,,,,,Polygon,30.0382565,-97.869535,-97.872205,30.0375556,-97.8668651,30.0389574,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-90,Sunset Ridge,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,,0.30302938,,,2004,,,,,,,,p,Polygon,29.9770505,-97.84472,-97.8449768,29.9768269,-97.8444632,29.9772742,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-36,Goforth Rd,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,5600 Goforth Rd,4.9997471,,,,,,,,,,,,Polygon,30.0229732,-97.7991717,-97.8000712,30.0220429,-97.7982721,30.0239036,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-35,1408 W Center St,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,1408 W Center St,0.4997276,,499,,,,,,,,,,Polygon,29.9906619,-97.887903,-97.8881217,29.9903449,-97.8876844,29.9909789,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARK_OBJECTID_555,Clara Vista Amenity Center,hoa_open_space,HOA,Clara Vista,no,,1.38723384,,,,,,,,,,,,Polygon,30.0084044,-97.9107981,-97.91119,30.0078788,-97.9104063,30.00893,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
